ad_id,color_tone,lighting_mood,composition_style,visual_style_tag,emotional_tone,narrative_structure,ad_pacing,character_setup,has_narrative_twist,setting,product_visibility,symbolic_representation,slogan,language_style,verbal_technique,key_linguistic_element1,key_linguistic_element2,industry_category,is_clothing_industry,is_personal_care_industry,product_type,marketing_strategy,brand_positioning,unique_selling_proposition,gender_target,age_group,cultural_context,lifestyle_segment,socioeconomic_indicator,primary_audience,secondary_audience
XZmMvVCcW0M,dominant red with blue and white accents,even indoor lighting,dynamic extreme close-up,energetic and playful,excitement and anticipation,metaphorical transformation,fast-paced and energetic,"no visible characters, focus on branding",No,indoor or shaded area,Yes,passion and energy,hear me roar!,dramatic and metaphorical,metaphor and personification,cold brew,fire-breathing dragon,food,No,No,cold brew coffee,sponsorship and partnership,exciting and energetic,combination of cold brew and sports excitement,neutral,teenagers,sports culture,active and energetic,N/A,soccer/football fans,Wrexham AFC supporters
YKzk1h7qrj8,cool blues and whites with warm accents,bright daytime atmosphere,centered character with vast background,whimsical and adventurous,nostalgic and adventurous,dialogue-driven progression,dynamic and playful rhythm,Arnold Shortman as the main character,No,snowy mountain range,Yes,overcoming challenges,Mountain of Entertainment,conversational and humorous,dialogue and humor,immunity aisle,can you take me higher,entertainment,No,No,streaming service,nostalgia-driven promotion,family-friendly content,vast library of beloved shows,neutral,kids,family-oriented and nostalgic,entertainment seekers,broad appeal,families with children,nostalgic adults
2022-budweiser-a-clydesdales-journey-mp4,muted earthy tones,soft diffused natural light,close-up with blurred background,rustic melancholic,serene reflective sadness,implied storytelling,slow reflective rhythm,weathered post as central character,No,rural agricultural environment,No,resilience and passage of time,N/A,descriptive and nostalgic,metaphor,weathered,nostalgia,N/A,No,No,N/A,emotional appeal,nostalgic rural imagery,evokes feelings of simplicity and history,neutral,middle-aged,rural nostalgia,nature enthusiasts,middle class,nature lovers,history enthusiasts
2001_visa_check_card_pet_store-mp4,"muted, realistic colors",even fluorescent lighting,"medium shot, straightforward","casual, nostalgic","gentle, caring interaction",everyday activity progression,"slow, conversational rhythm",father and child at pet store,No,pet store interior,Yes,family bonding over pets,Use the Visa Check Card instead of Cash or Checks,"conversational, informal",direct address,Visa Check Card,"in, out, and on with life",retail,No,No,payment method,promotional suggestion,convenient payment solution,speed and ease of transaction,neutral,middle-aged,family-oriented,everyday consumers,middle class,parents,pet owners
2004_emerald_nuts_encouraging_norwegians-mp4,black with red/orange accents,"extremely low-key, mysterious",unclear due to darkness,mysterious,intrigue and suspense,implied action,slow and suspenseful,none discernible,No,dark environment,No,spark of curiosity,encouraging norwegians love emerald nuts,conversational and supportive,encouragement,good job,try again,food,No,No,nuts,encouragement,supportive and positive,healthy snack option,neutral,middle-aged,Norwegian culture,health-conscious consumers,N/A,Norwegians,health-conscious snackers
2019-doritos-chance-the-rapper-backstreet-boys-mp4,warm tones with bright red and orange,even natural light,centered on subject with grounding elements,playful and relaxed,enjoyment and coolness,suggestive moment of casual enjoyment,rhythmic and relaxed,Chance the Rapper as sole subject,No,large empty aircraft hangar,Yes,freedom and creativity,"Flamin' Hot Nacho, they made the original hot, hot, hot",playful and rhythmic,repetition and rhyme,hot,party,food,No,No,snack food,celebrity endorsement,cool and popular,spicy flavor experience,neutral,teenagers,pop culture,casual snackers,youthful and trendy,fans of Chance the Rapper,snack food enthusiasts
2014_labatt_blue_undomesticated_snowboarding-1-mp4,"black, red, blue contrast","natural, diffused, playful",central figure focus,"whimsical, lighthearted","fun, playful, intriguing",invitation to adventure,"quick, energetic",woman and bear interaction,No,snowy outdoor forest,No,following the bear as adventure,"Get up, get out, get undomesticated","inviting, energetic",imperative phrasing,undomesticated,get out,beverage,No,No,beer,"humorous, adventurous","playful, youthful",invitation to fun experiences,neutral,teenagers,"youthful, adventurous","active, social",middle-class,young adults,winter sports enthusiasts
2013_hyundai_santa_fe_team-mp4,desaturated earthy tones,"natural light, dramatic ambiance",foreground focus with mid-ground figures,gritty industrial,"lighthearted, aspirational",interaction between adult and child,moderate rhythm,adult male and child,No,industrial workshop,Yes,craftsmanship and mentorship,Gather your team,"conversational, playful",call to action,TOUCH OR TACKLE,7 Passenger Santa Fe,automotive,No,No,SUV,humorous storytelling,"family-friendly, practical",spacious 7 passenger capacity,neutral,middle-aged,family-oriented,active families,middle class,families,young professionals
2020_planters_road_trip-mp4,warm earthy tones with vibrant yellow,"natural daylight, midday sun",leading lines with vast landscape,adventurous and humorous,excitement and amusement,dialogue-driven tension,dynamic and playful,absurd situation with Mr. Peanut,No,canyon landscape,Yes,unique and unconventional branding,Don't drive like a nut.,playful and humorous,dialogue and urgency,Mr. Peanut,abandon that,automotive,No,No,advertisement for a vehicle,humorous and adventurous,playful and unconventional,distinctive peanut-shaped car,neutral,teenagers,youthful and adventurous,humor and unconventionality,N/A,young adventurous individuals,humor enthusiasts
2009_coca-cola_heist-mp4,greens and browns with red contrast,"soft, diffused, whimsical",foreground focus with blurred background,whimsical and magical,curiosity and wonder,visual journey,slow and anticipatory,caterpillar reaching for Coke,No,miniature forest floor,Yes,natural desire fulfillment,N/A,conversational and repetitive,repetition for emphasis,do it,have to,food,No,No,soft drink,emotional appeal,irresistibly appealing,fulfillment of natural desires,neutral,kids,childlike fascination,whimsical and curious,broad audience,young demographics,general consumers
IAIo-pUDl0s,cool blue and warm sunset,"backlit, serene atmosphere",profile silhouette with depth,emotional and contemplative,love and companionship,reflective and reassuring,gentle and steady,dog as central figure,No,domestic environment with sunset,No,appreciation of time with pets,I'll always take care of you,tender and nurturing,reassurance and repetition,love,forever,pet care,No,No,pet products,emotional connection,family-oriented pet care,lifelong companionship,neutral,middle-aged,pet-friendly households,pet owners,middle to upper class,dog owners,animal lovers
2009_hulu_alec_hollywood-mp4,"muted, realistic","evenly lit, indoor",foreground focus on characters,"humorous, satirical",humor and absurdity,absurdist progression,"fast-paced, comedic rhythm",Alec Baldwin as central figure,Yes,technological workspace,Yes,TV as brain softener,"Hulu, an evil plot to destroy the world.","humorous, irreverent",satire,cerebral gelatinizing,melon baller,entertainment,No,No,streaming service,humorous satire,"smart, irreverent","TV anytime, anywhere for free",neutral,teenagers,modern digital culture,tech-savvy viewers,middle to upper class,streaming service users,comedy enthusiasts
2004_lays_potato_chips_teeth-mp4,"warm, inviting tones","soft, natural lighting",focus on food and hands,"casual, homely",nostalgia and comfort,implied family gathering,"steady, relaxed rhythm","older woman, family-oriented",No,garden or outdoor,Yes,family togetherness,"even crispier, more irresistible","conversational, inviting",emotional appeal,crispier,irresistible,food,No,No,potato chips,emotional connection,family-friendly snack,crispier texture,neutral,middle-aged,family-oriented,"casual, social gatherings",middle class,families,older adults
2004_budweiser_ref_yelled_at-mp4,"muted blues, greys, whites","tense, uneven stadium lighting",crowded focus on central figures,dramatic sports scene,frustration and tension,dialogue-driven tension,"rapid, chaotic rhythm",referee and players in conflict,No,football field at night,No,critical decision-making moment,N/A,"conversational, dramatic",hyperbole,beating like a rented mule,when's that porch gonna get painted,entertainment,No,No,N/A,N/A,N/A,N/A,neutral,teenagers,sports culture,sports enthusiasts,N/A,football fans,general sports viewers
2004_ford_gt_in_what_gear-mp4,naturalistic greens and grays with red car,"daylight, slightly desaturated","aerial shot, dynamic angle",dynamic and exciting,excitement and adrenaline,implied narrative of speed and control,rhythmic questioning,implied driver in red car,No,curving road with grassy area,Yes,control vs. loss of control,This is the one.,conversational and engaging,rhetorical questioning,gear,catch you,automotive,No,No,sports car,performance-focused,high-performance and thrilling,exhilarating driving experience,neutral,teenagers,motorsports culture,thrill-seekers,middle to upper class,car enthusiasts,performance driving fans
2014_geico_maxwell_at_dmv-mp4,muted grays and blues,"even, flat lighting",focused on character interaction,quirky and official,curiosity and amusement,dialogue-driven,moderate rhythm,middle-aged woman and pig,No,office or institutional environment,Yes,innocence and absurdity,Digital insurance ID cards.,conversational and informal,direct address,Geico,tap away,finance,No,No,digital insurance ID card,humorous engagement,accessible and user-friendly,instant access via app,neutral,middle-aged,general American audience,tech-savvy consumers,middle to upper class,insurance customers,general public
2012_doritos_mans_best_friend-mp4,bright red and yellow contrast,natural outdoor lighting,close-up shot,humorous and candid,humor and complicity,implied secretive indulgence,playful and lighthearted,first-person perspective,No,outdoor natural environment,Yes,indulgence in guilty pleasure,You didn't see nuthin',informal and playful,humor and slang,nuthin',guilty pleasure,food,No,No,snack food,humorous appeal,fun and indulgent,secretive enjoyment of snacks,neutral,teenagers,youthful and casual,snack enthusiasts,N/A,young snackers,casual snackers
GAoeGC-eL4I,warm and natural tones,"soft, natural daylight",medium close-up with blurred background,casual and friendly,camaraderie and enjoyment,conversational progression,relaxed and conversational,interaction between two men,Yes,outdoor social gathering,Yes,aspirational lifestyle,N/A,conversational and humorous,dialogue-driven,Other David,Stella Artois,food,No,No,beer,celebrity endorsement,premium casual enjoyment,celebrity association with lifestyle,neutral,middle-aged,social and casual,relaxed and sociable,middle to upper class,beer drinkers,sports fans
gKCScoG83SA,"earthy tones, warm","soft, warm, natural",off-center focus,"cozy, inviting","contentment, tranquility",conversational progression,"casual, relaxed","older man, relaxed",No,living room,Yes,comfort and escape,"Don't worry, it happens to the best of us.","conversational, informal",reassurance,happens,best of us,food,No,No,snack food,emotional appeal,comfort and indulgence,relaxation and enjoyment,neutral,middle-aged,family-oriented,leisure and relaxation,middle class,adults,families
2022-rakuten-high-stakes-mp4,warm muted tones,soft dim lighting,tight focus on subject,inviting and social,pleasant surprise,conversational progression,dynamic and engaging,woman in social interaction,No,dimly lit bar/restaurant,Yes,slice of everyday life,Get the cashback!,conversational and engaging,repetition for emphasis,cha-ching,raise the stakes,retail,No,No,cashback service,social engagement,value-driven cashback,cashback rewards,neutral,middle-aged,socializing and nightlife,entertainment and dining,middle to upper class,adults,young professionals
2016_fitbit_blaze_dualities-mp4,minimalist white and teal,"soft, even lighting",off-center arrangement,modern and clean,organization and efficiency,suggestive lifestyle integration,steady and calm,focus on smartwatch user,No,modern technology environment,Yes,control over schedule,"Call, Text & Calendar Alerts",concise and informative,direct messaging,convenience,connectivity,technology,No,No,smartwatch,feature-focused promotion,premium and efficient,integrated notifications,neutral,middle-aged,modern tech reliance,busy professionals,middle to upper class,busy individuals,tech-savvy users
2003_budweiser_instant_replay-mp4,"browns and whites, muted greens","soft, diffused natural light","close-up, intimate arrangement",serene and majestic,calmness and admiration,implied storytelling through visuals,slow and tranquil,horses representing unity and strength,No,natural wooded environment,No,"power, freedom, teamwork",N/A,conversational and humorous,humor and metaphor,jackass,zebra,entertainment,No,No,N/A,emotional appeal,heritage and tradition,connection with nature,neutral,middle-aged,rural and nature-loving,animal lovers and outdoor enthusiasts,N/A,horse enthusiasts,nature lovers
2005_volvo_boldy_go-1-mp4,dark with silver/grey car,"low-key, mysterious atmosphere","central positioning, elevated angle","mysterious, adventurous",wonder and aspiration,direct introduction,steady rhythm,no characters present,No,dark outdoor environment,Yes,aspiration for space travel,the most powerful Volvo ever,exciting and adventurous,rhetorical question,liftoff,Win a flight on Virgin Galactic,automotive,No,No,SUV,experiential promotion,luxury and adventure,powerful performance with safety,neutral,middle-aged,adventurous and luxury-oriented,high-end experience seekers,affluent,adventure enthusiasts,luxury vehicle buyers
94BqlDQ-Ppo,"desaturated, muted tones","soft, diffused light",divided by street and sidewalk,"serene, contemplative",empathy and compassion,juxtaposition of actions,"slow, reflective rhythm","two women, one washing feet",No,street outside clinic,No,bridging divides,N/A,poetic and reflective,metaphor and imagery,two worlds colliding,never tear us apart,healthcare,No,Yes,family planning services,empathy-driven messaging,community-focused,compassionate care,neutral,middle-aged,faith and social justice,community-oriented,varied,individuals interested in social issues,faith-based communities
2003_hr_block_willie_nelson-mp4,"grayscale, neutral","uneven, documentary-like","close-up, angled",documentary,"humorous, light-hearted",dialogue-driven,"quick, dynamic",Willie Nelson as spokesperson,Yes,"tax office, financial context",Yes,financial responsibility,Let H&R Block double-check your taxes free,"conversational, informal","humor, direct address",smooth move,bad advice,finance,No,No,tax preparation service,humorous engagement,trusted tax advisor,double-checking taxes for free,neutral,middle-aged,American tax system,financially responsible individuals,varied income levels,taxpayers,financial advisors
2004_mastercard_homer_simpson-mp4,"bright, primary colors","even lighting, casual atmosphere",focus on central character,comedic animation,humorous irony,conversational progression,"quick, rhythmic dialogue",Homer Simpson as the main character,Yes,Springfield bar,Yes,family vs. leisure,"For everything else, there's MasterCard.","conversational, humorous",irony and exaggeration,priceless,getting your errands done,finance,No,No,credit card,emotional appeal,value in everyday life,convenience for expenses,neutral,middle-aged,American family life,busy family-oriented,middle class,adults watching The Simpsons,families
2012_cadillac_ats_green_hell-mp4,"muted grayscale, industrial","bright fluorescent, realistic",dynamic low angle,industrial intrigue,"curiosity, anticipation",challenge and reveal,"steady, building tension","two figures, one guiding",No,industrial warehouse,Yes,innovation under secrecy,Cadillac can beat the world's best,"assertive, competitive",direct challenge,Green Hell,all-new Cadillac ATS,automotive,No,No,luxury sedan,exclusivity and innovation,performance against competitors,developed for extreme conditions,neutral,middle-aged,automotive enthusiasts,"tech-savvy, performance-oriented",upper-middle to high income,car enthusiasts,tech-savvy individuals
nUC1QA5gRcU,"cool, desaturated palette","soft, diffused lighting",intimate character focus,"humorous, lighthearted",humor and surprise,character-driven dialogue,dynamic and playful,Zeus and Hera in a car,Yes,"sunny, palm tree-lined street",Yes,power and excitement,"BMW, the ultimate electric driving machine",conversational and playful,humor and pop culture references,electricity in its ultimate form,little juice,automotive,No,No,electric vehicle,humorous storytelling,luxury electric vehicle,powerful electric capabilities,neutral,middle-aged,"affluent, modern",luxury vehicle enthusiasts,affluent,luxury electric vehicle buyers,pop culture fans
2014_cheerios_gracie-mp4,muted earth tones,soft natural light,intimate voyeuristic perspective,warm familial,warmth and connection,conversational progression,gentle and relaxed,"father, daughter, mother",No,kitchen during breakfast,Yes,family connection and healthy eating,N/A,conversational and familial,direct address,baby brother,puppy,food,No,No,cereal,emotional appeal,family-oriented,healthy breakfast choice,neutral,kids,family-centric,health-conscious families,middle-class,families with young children,parents
2014_carmax_slow_clap-mp4,"bright, saturated colors",sunny and bright,"simple, centered arrangement",lighthearted,youthful and fun,implied story of school spirit,steady and relaxed,young man and woman in uniforms,No,park with grassy field,No,high school life and spirit,You really did have my perfect car.,conversational and casual,direct address,perfect car,thanks for watching,automotive,No,No,car,emotional appeal,youthful and relatable,perfect car for you,neutral,teenagers,American high school culture,active and social,youth-oriented,teenagers and young adults,parents of teenagers
2020-discover-yes-mp4,cool blue with orange accents,"bright, even lighting",dynamic card arrangement,modern and clean,confidence and security,direct presentation,steady and rhythmic,"no characters, focus on cards",No,plain white background,Yes,choice and flexibility,Accepted at over 95% of places in the U.S.,conversational and affirmative,repetition for emphasis,Yes,Discover,finance,No,No,credit card,emphasizing wide acceptance,trustworthy and reliable,high acceptance rate,neutral,teenagers,broad consumer appeal,students and travelers,varied economic backgrounds,students,travelers
KM3Yx-5Ymiw,muted earthy tones,natural soft light,centered character emphasis,realistic and gritty,intrigue and mystery,implied complexity,slow and contemplative,man holding scarab beetle,No,outdoor grassy field,Yes,transformation and rebirth,Embrace the chaos,contemplative and introspective,metaphor and personification,chaos,embrace,entertainment,No,No,TV show promotion,teaser and intrigue,Marvel superhero narrative,connection to Egyptian mythology,neutral,teenagers,superhero and mythology fans,adventure seekers,N/A,Marvel fans,mythology enthusiasts
DoorDash 2023 Super Bowl Ad ＂We Get Groceries＂ (1),"warm, natural with pops of color",bright and even,medium shot with leading lines,lighthearted and casual,humorous and friendly,conversational progression,casual and relaxed,two diverse individuals interacting,No,grocery store,Yes,everyday life routines,We Get Groceries,conversational and informal,humor and relatability,cream rules everything around,pillow beans,food,No,No,grocery delivery service,everyday relatability,approachable and friendly,convenient grocery delivery,neutral,middle-aged,inclusive and diverse,everyday consumers,broad economic appeal,grocery shoppers,food enthusiasts
2019-toyota-supra-wizard-mp4,cool palette with reds and oranges,dramatic low-key lighting,dynamic motion with framing,futuristic action,excitement and thrill,action-driven progression,fast-paced rhythm,no visible characters,No,"dark, wet reflective surface",Yes,overcoming challenges metaphor,This is how you do it.,conversational and motivational,imperative statements,blaze,leave it all,automotive,No,No,sports car,performance-focused,cutting-edge technology,futuristic design and speed,neutral,teenagers,car enthusiasts,active and adventurous,middle to upper class,sports car enthusiasts,technology fans
2011_best-buy_ozzy_and_bieber-mp4,"neutral colors, professional","bright, even lighting","centered focus, candid shot",professional studio,"confident, engaged",behind-the-scenes glimpse,"dynamic, conversational",Sharon Osbourne as main subject,No,studio environment,No,"self-reflection, multifaceted career",All aboard the 5G train,"conversational, informal","repetition, rhetorical questions",5G,buyback program,technology,No,No,mobile technology,promotional campaign,"innovative, cutting-edge",upgrade buyback program,neutral,teenagers,celebrity culture,tech-savvy consumers,middle to upper class,tech enthusiasts,fans of celebrities
2010_trutv_punxsutawney_polamalu-mp4,dark blue/black with white text,"dramatic, anticipatory",centrally located text with perspective lines,dramatic sports promo,intrigue and excitement,anticipatory buildup,steady rhythm,N/A,No,football field at night,No,spotlight on new series,Six more weeks of football,conversational and engaging,direct address,NFL Full Contact,True TV presents,entertainment,No,No,television series,premiere promotion,sports entertainment,new series premiere,neutral,middle-aged,American sports culture,sports fans,N/A,sports enthusiasts,general TV viewers
2005_emerald_nuts_exaggerating_dad-1-mp4,desaturated muted tones,soft diffused lighting,centered family arrangement,intimate and nostalgic,comfort and nostalgia,dialogue-driven interaction,slow and reflective,father-daughter dynamic,No,living room environment,Yes,connection through shared snack,N/A,conversational and playful,exaggeration,emerald nuts,unicorns,food,No,No,mixed nuts,family-oriented appeal,comfort food,shared family moments,neutral,middle-aged,Western family dynamics,family-oriented,middle class,parents,children
2020-turbotax-all-people-are-tax-people-6-mp4,warm and cool tones,intimate and inviting,central focus on character,nostalgic and warm,inclusive and supportive,repetitive and rhythmic,upbeat and engaging,community-focused representation,No,tax assistance environment,Yes,community and support,Do your taxes,conversational and rhythmic,repetition and call-and-response,tax people,easy uploads,finance,No,No,tax filing service,community engagement,accessible and friendly,easy and supportive tax filing,neutral,middle-aged,diverse and inclusive,individuals needing tax assistance,varied economic backgrounds,tax filers,families and individuals
2010_snickers_the-game_betty_white_abe_vigoda-mp4,naturalistic muted colors,natural daylight atmosphere,focused character interaction,humorous relatable,humor and relatability,before-and-after moment,quick and dynamic,two women of different generations,Yes,sports field or track,Yes,transformation through hunger satisfaction,You're not you when you're hungry,conversational and humorous,playful banter,Snickers,satisfy,food,No,No,candy bar,humor-driven,relatable and fun,satisfaction when hungry,neutral,teenagers,universal experience of hunger,active and social,broad appeal,general consumers,young adults
